name,link
Logitech G Pro X Gaming Headset,https://www.amazon.ca/Logitech-Gaming-Headset-Black-Size/dp/B07PDFBJZD/ref=sr_1_1?dchild=1&keywords=logitech+g+pro+x+headset&qid=1610048275&sr=8-1
Logitech MX Master 3,https://www.amazon.ca/Logitech-Master-Advanced-Wireless-Mouse/dp/B07S395RWD/ref=sr_1_1?dchild=1&keywords=logitech+mx+master+keys&qid=1610048330&sr=8-1
